Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Crime Domain
2020-03-01,09:43,Ahmedabad,ASSAULT,70,F,Violent Crime
2020-03-01,03:32,Surat,DRUG OFFENSE,30,M,Other Crime
2020-03-01,00:59,Visakhapatnam,DRUG OFFENSE,58,F,Other Crime
2020-03-01,17:48,Bhopal,CYBERCRIME,25,M,Other Crime
2020-03-01,08:46,Visakhapatnam,BURGLARY,22,M,Other Crime
2020-04-01,07:58,Lucknow,BURGLARY,35,F,Other Crime
2020-04-01,01:45,Ahmedabad,CYBERCRIME,70,F,Other Crime
2020-04-01,14:30,Mumbai,KIDNAPPING,25,F,Other Crime
2020-04-01,03:40,Mumbai,ROBBERY,39,F,Violent Crime
2020-04-01,23:54,Visakhapatnam,VEHICLE - STOLEN,54,F,Violent Crime
2020-04-01,23:33,Delhi,ASSAULT,61,F,Violent Crime
2020-04-01,09:17,Mumbai,ROBBERY,25,F,Violent Crime
2020-04-01,22:04,Rajkot,ROBBERY,11,F,Violent Crime
2020-04-01,21:21,Mumbai,HOMICIDE,16,F,Other Crime
2020-04-01,06:38,Hyderabad,VEHICLE - STOLEN,73,F,Violent Crime
2020-04-01,17:15,Kolkata,BURGLARY,72,F,Other Crime
2020-04-01,09:21,Jaipur,CYBERCRIME,60,F,Other Crime
2020-04-01,08:12,Mumbai,SEXUAL ASSAULT,42,F,Violent Crime
2020-04-01,14:10,Hyderabad,DRUG OFFENSE,51,F,Other Crime
2020-05-01,02:56,Kolkata,SEXUAL ASSAULT,71,M,Violent Crime
2020-05-01,06:41,Hyderabad,DRUG OFFENSE,13,F,Other Crime
2020-05-01,17:43,Kanpur,ASSAULT,34,F,Violent Crime
2020-05-01,14:13,Mumbai,VEHICLE - STOLEN,38,F,Violent Crime
2020-05-01,10:05,Hyderabad,VEHICLE - STOLEN,69,F,Violent Crime
2020-05-01,17:21,Lucknow,DOMESTIC VIOLENCE,12,F,Violent Crime
2020-05-01,14:55,Bangalore,HOMICIDE,49,F,Other Crime
2020-05-01,06:26,Mumbai,BURGLARY,64,F,Other Crime
2020-05-01,02:16,Delhi,DRUG OFFENSE,32,M,Other Crime
2020-06-01,12:16,Ahmedabad,VEHICLE - STOLEN,78,F,Violent Crime
2020-06-01,22:59,Delhi,KIDNAPPING,22,F,Other Crime
2020-06-01,06:56,Ludhiana,SEXUAL ASSAULT,44,F,Violent Crime
2020-06-01,05:15,Pune,ASSAULT,62,F,Violent Crime
2020-06-01,14:55,Ghaziabad,ROBBERY,33,M,Violent Crime
2020-06-01,19:17,Bangalore,HOMICIDE,18,M,Other Crime
2020-06-01,20:11,Mumbai,ASSAULT,12,M,Violent Crime
2020-06-01,07:11,Kanpur,KIDNAPPING,57,F,Other Crime
2020-06-01,01:17,Jaipur,CYBERCRIME,47,F,Other Crime
2020-06-01,14:13,Delhi,DOMESTIC VIOLENCE,73,F,Violent Crime
2020-06-01,16:49,Varanasi,ASSAULT,79,F,Violent Crime
2020-07-01,18:49,Meerut,CYBERCRIME,44,F,Other Crime
2020-07-01,13:59,Bhopal,DRUG OFFENSE,35,F,Other Crime
2020-07-01,19:49,Chennai,KIDNAPPING,39,F,Other Crime
2020-07-01,19:37,Bangalore,DOMESTIC VIOLENCE,48,F,Violent Crime
2020-07-01,12:05,Pune,DOMESTIC VIOLENCE,71,F,Violent Crime
2020-07-01,03:32,Ahmedabad,HOMICIDE,18,F,Other Crime
2020-07-01,06:49,Delhi,VEHICLE - STOLEN,38,F,Violent Crime
2020-07-01,14:26,Kolkata,ASSAULT,27,F,Violent Crime
2020-07-01,17:22,Surat,CYBERCRIME,17,F,Other Crime
2020-07-01,06:07,Ghaziabad,SEXUAL ASSAULT,11,F,Violent Crime
2020-08-01,00:14,Lucknow,DRUG OFFENSE,19,F,Other Crime
2020-08-01,13:20,Hyderabad,SEXUAL ASSAULT,51,F,Violent Crime
2020-08-01,01:34,Indore,DRUG OFFENSE,40,F,Other Crime
2020-08-01,10:27,Surat,ROBBERY,64,M,Violent Crime
2020-08-01,22:06,Lucknow,BURGLARY,66,F,Other Crime
2020-08-01,02:31,Pune,DOMESTIC VIOLENCE,72,M,Violent Crime
2020-08-01,12:16,Mumbai,CYBERCRIME,53,F,Other Crime
2020-08-01,17:18,Ahmedabad,SEXUAL ASSAULT,28,F,Violent Crime
2020-08-01,23:28,Hyderabad,SEXUAL ASSAULT,27,F,Violent Crime
2020-08-01,21:24,Chennai,CYBERCRIME,44,M,Other Crime
2020-08-01,15:53,Chennai,KIDNAPPING,63,F,Other Crime
2020-09-01,04:00,Jaipur,DOMESTIC VIOLENCE,49,M,Violent Crime
2020-09-01,00:18,Lucknow,DOMESTIC VIOLENCE,56,M,Violent Crime
2020-09-01,02:06,Nashik,HOMICIDE,56,F,Other Crime
2020-09-01,12:58,Mumbai,DRUG OFFENSE,34,F,Other Crime
2020-09-01,13:00,Lucknow,KIDNAPPING,16,F,Other Crime
2020-09-01,23:51,Thane,VEHICLE - STOLEN,44,F,Violent Crime
2020-09-01,20:15,Patna,ASSAULT,59,M,Violent Crime
2020-09-01,02:45,Bangalore,VEHICLE - STOLEN,73,M,Violent Crime
2020-09-01,00:56,Delhi,SEXUAL ASSAULT,44,M,Violent Crime
2020-10-01,17:27,Nagpur,BURGLARY,68,F,Other Crime
2020-10-01,03:16,Kolkata,VEHICLE - STOLEN,24,F,Violent Crime
2020-10-01,05:29,Ludhiana,KIDNAPPING,69,F,Other Crime
2020-10-01,23:31,Chennai,ROBBERY,49,F,Violent Crime
2020-10-01,00:10,Bangalore,CYBERCRIME,40,F,Other Crime
2020-10-01,15:46,Surat,HOMICIDE,51,F,Other Crime
2020-10-01,04:03,Jaipur,VEHICLE - STOLEN,61,F,Violent Crime
2020-10-01,19:09,Mumbai,HOMICIDE,11,F,Other Crime
2020-10-01,03:46,Kolkata,ASSAULT,40,M,Violent Crime
2020-10-01,06:53,Visakhapatnam,CYBERCRIME,23,M,Other Crime
2020-10-01,04:23,Chennai,CYBERCRIME,35,M,Other Crime
2020-11-01,10:11,Kalyan,SEXUAL ASSAULT,18,F,Violent Crime
2020-11-01,14:49,Nagpur,ROBBERY,58,F,Violent Crime
2020-11-01,07:14,Thane,DOMESTIC VIOLENCE,70,F,Violent Crime
2020-11-01,08:18,Indore,KIDNAPPING,55,F,Other Crime
2020-11-01,01:13,Chennai,BURGLARY,11,F,Other Crime
2020-11-01,22:04,Kanpur,SEXUAL ASSAULT,69,F,Violent Crime
2020-12-01,23:31,Kanpur,KIDNAPPING,16,F,Other Crime
2020-12-01,08:35,Surat,ROBBERY,71,M,Violent Crime
2020-12-01,08:31,Indore,DRUG OFFENSE,38,M,Other Crime
2020-12-01,14:37,Bangalore,VEHICLE - STOLEN,56,F,Violent Crime
2020-12-01,06:07,Ahmedabad,ASSAULT,21,M,Violent Crime
2020-12-01,10:15,Indore,ASSAULT,10,F,Violent Crime
2020-12-01,04:19,Ludhiana,KIDNAPPING,45,F,Other Crime
2020-12-01,01:20,Ludhiana,BURGLARY,48,F,Other Crime
2020-12-01,15:38,Indore,ASSAULT,70,F,Violent Crime
2020-12-01,16:05,Pune,VEHICLE - STOLEN,12,F,Violent Crime
2020-01-02,22:14,Agra,BURGLARY,22,F,Other Crime
2020-01-02,20:12,Hyderabad,VEHICLE - STOLEN,51,M,Violent Crime
2020-01-02,14:04,Ahmedabad,ASSAULT,37,F,Violent Crime
2020-01-02,17:29,Mumbai,VEHICLE - STOLEN,66,F,Violent Crime
2020-01-02,10:30,Delhi,DOMESTIC VIOLENCE,50,F,Violent Crime
2020-01-02,05:34,Kolkata,CYBERCRIME,51,F,Other Crime
2020-01-02,02:07,Kanpur,KIDNAPPING,73,F,Other Crime
2020-01-02,16:01,Nagpur,ROBBERY,31,F,Violent Crime
2020-01-02,19:27,Ghaziabad,CYBERCRIME,15,M,Other Crime
2020-01-02,10:56,Thane,DRUG OFFENSE,68,M,Other Crime
2020-02-02,18:50,Thane,BURGLARY,47,F,Other Crime
2020-02-02,12:28,Nagpur,DOMESTIC VIOLENCE,11,M,Violent Crime
2020-02-02,15:08,Ludhiana,DRUG OFFENSE,25,F,Other Crime
2020-02-02,02:42,Delhi,VEHICLE - STOLEN,11,M,Violent Crime
2020-02-02,11:15,Delhi,DRUG OFFENSE,35,F,Other Crime
2020-02-02,00:17,Hyderabad,DRUG OFFENSE,25,F,Other Crime
2020-02-02,22:04,Mumbai,BURGLARY,44,F,Other Crime
2020-02-02,02:46,Indore,VEHICLE - STOLEN,41,F,Violent Crime
2020-03-02,07:45,Bhopal,SEXUAL ASSAULT,12,F,Violent Crime
2020-03-02,00:33,Srinagar,KIDNAPPING,50,F,Other Crime
2020-03-02,21:45,Bhopal,KIDNAPPING,12,F,Other Crime
2020-03-02,22:59,Chennai,KIDNAPPING,73,M,Other Crime
2020-03-02,10:23,Thane,KIDNAPPING,20,M,Other Crime
2020-03-02,14:32,Mumbai,DOMESTIC VIOLENCE,14,F,Violent Crime
2020-03-02,00:37,Surat,CYBERCRIME,53,M,Other Crime
2020-03-02,21:29,Mumbai,CYBERCRIME,43,F,Other Crime
2020-03-02,16:42,Nagpur,HOMICIDE,60,M,Other Crime
2020-04-02,13:14,Kanpur,VEHICLE - STOLEN,16,F,Violent Crime
2020-04-02,11:08,Hyderabad,ASSAULT,67,F,Violent Crime
2020-04-02,20:58,Ahmedabad,SEXUAL ASSAULT,37,F,Violent Crime
2020-04-02,20:28,Kolkata,ASSAULT,34,F,Violent Crime
2020-04-02,16:15,Kolkata,BURGLARY,65,M,Other Crime
2020-04-02,02:46,Bhopal,VEHICLE - STOLEN,18,F,Violent Crime
2020-04-02,02:26,Pune,DOMESTIC VIOLENCE,46,F,Violent Crime
2020-04-02,14:02,Agra,SEXUAL ASSAULT,75,M,Violent Crime
2020-04-02,18:46,Mumbai,CYBERCRIME,14,M,Other Crime
2020-04-02,16:24,Chennai,DOMESTIC VIOLENCE,16,F,Violent Crime
2020-04-02,09:03,Hyderabad,SEXUAL ASSAULT,36,F,Violent Crime
2020-04-02,14:09,Delhi,VEHICLE - STOLEN,41,F,Violent Crime
2020-04-02,13:29,Hyderabad,HOMICIDE,35,F,Other Crime
2020-05-02,08:16,Surat,DRUG OFFENSE,22,M,Other Crime
2020-05-02,15:56,Kalyan,DOMESTIC VIOLENCE,23,F,Violent Crime
2020-05-02,05:04,Jaipur,VEHICLE - STOLEN,36,F,Violent Crime
2020-05-02,11:47,Nashik,SEXUAL ASSAULT,27,F,Violent Crime
2020-05-02,23:30,Chennai,VEHICLE - STOLEN,52,F,Violent Crime
2020-05-02,00:07,Kolkata,KIDNAPPING,32,F,Other Crime
2020-05-02,12:48,Mumbai,DOMESTIC VIOLENCE,67,M,Violent Crime
2020-05-02,05:35,Bangalore,BURGLARY,72,F,Other Crime
2020-05-02,08:52,Kanpur,KIDNAPPING,12,M,Other Crime
2020-05-02,07:48,Nashik,DOMESTIC VIOLENCE,45,F,Violent Crime
2020-05-02,03:02,Lucknow,CYBERCRIME,74,M,Other Crime
2020-05-02,14:14,Indore,SEXUAL ASSAULT,50,F,Violent Crime
2020-06-02,18:17,Ahmedabad,BURGLARY,66,F,Other Crime
2020-06-02,11:31,Pune,SEXUAL ASSAULT,71,F,Violent Crime
2020-06-02,07:03,Srinagar,DRUG OFFENSE,65,F,Other Crime
2020-06-02,09:45,Ludhiana,HOMICIDE,59,F,Other Crime
2020-06-02,23:24,Mumbai,SEXUAL ASSAULT,76,F,Violent Crime
2020-06-02,04:02,Bhopal,SEXUAL ASSAULT,58,M,Violent Crime
2020-06-02,07:20,Hyderabad,CYBERCRIME,42,F,Other Crime
2020-06-02,22:13,Chennai,DRUG OFFENSE,38,M,Other Crime
2020-06-02,21:26,Delhi,VEHICLE - STOLEN,17,M,Violent Crime
2020-06-02,20:12,Lucknow,ROBBERY,79,M,Violent Crime
2020-07-02,22:39,Vasai,ROBBERY,19,M,Violent Crime
2020-07-02,08:45,Kolkata,ROBBERY,31,M,Violent Crime
2020-07-02,17:09,Ghaziabad,VEHICLE - STOLEN,18,M,Violent Crime
2020-07-02,00:09,Bangalore,DOMESTIC VIOLENCE,49,F,Violent Crime
2020-07-02,12:14,Patna,ROBBERY,42,F,Violent Crime
2020-07-02,09:21,Pune,BURGLARY,56,F,Other Crime
2020-07-02,18:14,Hyderabad,VEHICLE - STOLEN,63,F,Violent Crime
2020-07-02,12:01,Meerut,ROBBERY,67,M,Violent Crime
2020-07-02,14:50,Patna,HOMICIDE,74,F,Other Crime
2020-07-02,15:27,Bangalore,DRUG OFFENSE,29,M,Other Crime
2020-07-02,21:04,Mumbai,BURGLARY,27,M,Other Crime
2020-08-02,14:07,Delhi,ASSAULT,28,F,Violent Crime
2020-08-02,04:06,Jaipur,KIDNAPPING,20,F,Other Crime
2020-08-02,11:57,Kolkata,KIDNAPPING,30,F,Other Crime
2020-08-02,02:39,Ahmedabad,ASSAULT,12,F,Violent Crime
2020-08-02,12:26,Delhi,HOMICIDE,30,F,Other Crime
2020-08-02,08:16,Ludhiana,BURGLARY,11,F,Other Crime
2020-08-02,06:25,Faridabad,DOMESTIC VIOLENCE,15,F,Violent Crime
2020-08-02,00:31,Delhi,SEXUAL ASSAULT,36,F,Violent Crime
2020-08-02,10:26,Mumbai,ROBBERY,16,F,Violent Crime
2020-08-02,03:20,Hyderabad,VEHICLE - STOLEN,18,F,Violent Crime
2020-08-02,13:45,Vasai,DOMESTIC VIOLENCE,37,F,Violent Crime
2020-08-02,20:43,Bangalore,BURGLARY,49,F,Other Crime
2020-09-02,08:12,Lucknow,BURGLARY,75,M,Other Crime
2020-09-02,17:43,Chennai,DOMESTIC VIOLENCE,58,M,Violent Crime
2020-09-02,07:23,Rajkot,ASSAULT,26,F,Violent Crime
2020-09-02,00:57,Delhi,ASSAULT,73,F,Violent Crime
2020-09-02,19:02,Jaipur,ROBBERY,61,F,Violent Crime
2020-09-02,11:57,Hyderabad,CYBERCRIME,64,M,Other Crime
2020-09-02,09:06,Pune,CYBERCRIME,25,F,Other Crime
2020-09-02,15:32,Delhi,VEHICLE - STOLEN,11,M,Violent Crime
2020-09-02,09:47,Lucknow,HOMICIDE,72,F,Other Crime
2020-09-02,06:57,Delhi,DRUG OFFENSE,63,M,Other Crime
2020-09-02,00:07,Hyderabad,ROBBERY,79,M,Violent Crime
2020-09-02,13:35,Delhi,BURGLARY,49,M,Other Crime
2020-09-02,05:49,Hyderabad,BURGLARY,61,F,Other Crime
2020-09-02,22:18,Hyderabad,VEHICLE - STOLEN,33,M,Violent Crime
2020-09-02,01:36,Hyderabad,CYBERCRIME,23,F,Other Crime
2020-10-02,10:12,Kolkata,HOMICIDE,71,F,Other Crime
2020-10-02,06:33,Kanpur,KIDNAPPING,32,F,Other Crime
2020-10-02,00:43,Kolkata,CYBERCRIME,41,F,Other Crime
2020-10-02,02:44,Surat,CYBERCRIME,57,F,Other Crime
2020-10-02,05:10,Delhi,SEXUAL ASSAULT,50,F,Violent Crime
2020-10-02,00:43,Lucknow,DRUG OFFENSE,15,F,Other Crime
2020-10-02,16:33,Bangalore,VEHICLE - STOLEN,32,M,Violent Crime
2020-10-02,12:46,Delhi,HOMICIDE,34,F,Other Crime
2020-10-02,00:48,Lucknow,DRUG OFFENSE,66,F,Other Crime
2020-10-02,09:12,Chennai,ASSAULT,14,F,Violent Crime
2020-10-02,03:16,Jaipur,DOMESTIC VIOLENCE,61,F,Violent Crime
2020-10-02,21:29,Mumbai,KIDNAPPING,15,F,Other Crime
2020-10-02,02:46,Ghaziabad,ASSAULT,35,F,Violent Crime
2020-10-02,00:41,Bhopal,ROBBERY,69,M,Violent Crime
2020-11-02,20:52,Mumbai,ASSAULT,44,F,Violent Crime
2020-11-02,21:00,Mumbai,SEXUAL ASSAULT,32,F,Violent Crime
2020-11-02,04:56,Kanpur,BURGLARY,36,M,Other Crime
2020-11-02,19:22,Kolkata,ASSAULT,79,F,Violent Crime
2020-11-02,22:08,Kanpur,HOMICIDE,44,M,Other Crime
2020-11-02,00:29,Nagpur,ROBBERY,44,F,Violent Crime
2020-11-02,04:32,Mumbai,ASSAULT,72,F,Violent Crime
2020-11-02,19:04,Delhi,DRUG OFFENSE,26,F,Other Crime
2020-11-02,02:19,Kolkata,DRUG OFFENSE,30,F,Other Crime
2020-11-02,08:14,Hyderabad,ROBBERY,14,M,Violent Crime
2020-11-02,17:57,Delhi,CYBERCRIME,47,M,Other Crime
2020-11-02,19:09,Jaipur,ROBBERY,30,M,Violent Crime
2020-11-02,14:34,Mumbai,SEXUAL ASSAULT,14,M,Violent Crime
2020-11-02,14:24,Lucknow,CYBERCRIME,67,M,Other Crime
2020-11-02,14:57,Surat,BURGLARY,15,M,Other Crime
2020-12-02,19:41,Chennai,DOMESTIC VIOLENCE,31,F,Violent Crime
2020-12-02,16:49,Ahmedabad,VEHICLE - STOLEN,14,F,Violent Crime
2020-12-02,13:02,Pune,HOMICIDE,55,M,Other Crime
2020-12-02,13:53,Chennai,HOMICIDE,55,F,Other Crime
2020-12-02,11:07,Pune,HOMICIDE,55,F,Other Crime
2020-12-02,01:44,Faridabad,KIDNAPPING,34,F,Other Crime
2020-12-02,01:51,Lucknow,ROBBERY,38,F,Violent Crime
2020-12-02,03:56,Bangalore,DRUG OFFENSE,56,M,Other Crime
2020-12-02,16:44,Mumbai,BURGLARY,65,F,Other Crime
2020-12-02,18:48,Ahmedabad,CYBERCRIME,53,F,Other Crime
2020-12-02,10:39,Jaipur,HOMICIDE,62,M,Other Crime
2020-01-03,05:07,Mumbai,KIDNAPPING,15,F,Other Crime
2020-01-03,06:20,Delhi,ROBBERY,19,F,Violent Crime
2020-01-03,14:15,Ahmedabad,BURGLARY,19,F,Other Crime
2020-01-03,10:16,Hyderabad,KIDNAPPING,33,F,Other Crime
2020-01-03,04:36,Srinagar,ASSAULT,53,M,Violent Crime
2020-01-03,11:55,Agra,DOMESTIC VIOLENCE,42,F,Violent Crime
2020-01-03,03:40,Hyderabad,HOMICIDE,27,F,Other Crime
2020-01-03,15:11,Hyderabad,VEHICLE - STOLEN,49,F,Violent Crime
2020-01-03,01:40,Kolkata,VEHICLE - STOLEN,24,F,Violent Crime
2020-01-03,21:09,Mumbai,CYBERCRIME,21,F,Other Crime
2020-01-03,18:35,Hyderabad,VEHICLE - STOLEN,52,F,Violent Crime
2020-01-03,08:46,Jaipur,KIDNAPPING,78,F,Other Crime
2020-01-03,23:07,Jaipur,VEHICLE - STOLEN,78,F,Violent Crime
2020-01-03,12:51,Pune,KIDNAPPING,21,F,Other Crime
2020-01-03,04:23,Jaipur,ASSAULT,45,F,Violent Crime
2020-02-03,14:38,Bangalore,CYBERCRIME,48,F,Other Crime
2020-02-03,11:24,Hyderabad,ROBBERY,29,F,Violent Crime
2020-02-03,12:56,Varanasi,KIDNAPPING,45,F,Other Crime
2020-02-03,16:13,Hyderabad,DOMESTIC VIOLENCE,66,F,Violent Crime
2020-02-03,14:30,Chennai,ROBBERY,77,F,Violent Crime
2020-02-03,03:52,Delhi,ASSAULT,16,F,Violent Crime
2020-02-03,16:36,Jaipur,KIDNAPPING,27,F,Other Crime
2020-02-03,04:58,Visakhapatnam,KIDNAPPING,67,M,Other Crime
2020-02-03,15:01,Mumbai,ASSAULT,35,F,Violent Crime
2020-02-03,00:11,Surat,BURGLARY,58,F,Other Crime
2020-02-03,08:25,Visakhapatnam,HOMICIDE,21,F,Other Crime
2020-02-03,15:51,Faridabad,DRUG OFFENSE,21,F,Other Crime
2020-02-03,00:56,Delhi,DOMESTIC VIOLENCE,54,F,Violent Crime
2020-02-03,04:07,Delhi,DOMESTIC VIOLENCE,53,F,Violent Crime
2020-03-03,01:35,Delhi,CYBERCRIME,11,F,Other Crime
2020-03-03,01:12,Bangalore,ASSAULT,39,F,Violent Crime
2020-03-03,17:14,Hyderabad,DOMESTIC VIOLENCE,63,F,Violent Crime
2020-03-03,23:08,Hyderabad,SEXUAL ASSAULT,11,F,Violent Crime
2020-03-03,08:32,Bangalore,DOMESTIC VIOLENCE,24,F,Violent Crime
2020-03-03,07:24,Chennai,ASSAULT,33,M,Violent Crime
2020-03-03,20:51,Thane,SEXUAL ASSAULT,76,F,Violent Crime
2020-03-03,14:24,Mumbai,SEXUAL ASSAULT,21,M,Violent Crime
2020-03-03,09:43,Delhi,VEHICLE - STOLEN,56,F,Violent Crime
2020-03-03,23:07,Surat,DOMESTIC VIOLENCE,52,F,Violent Crime
2020-03-03,15:28,Mumbai,DRUG OFFENSE,46,F,Other Crime
2020-03-03,11:47,Ghaziabad,CYBERCRIME,79,M,Other Crime
2020-04-03,04:11,Indore,BURGLARY,10,F,Other Crime
2020-04-03,02:30,Jaipur,DOMESTIC VIOLENCE,10,F,Violent Crime
2020-04-03,05:07,Nagpur,ROBBERY,77,F,Violent Crime
2020-04-03,13:07,Delhi,BURGLARY,42,F,Other Crime
2020-04-03,00:55,Vasai,ROBBERY,51,F,Violent Crime
2020-04-03,19:01,Ludhiana,SEXUAL ASSAULT,60,F,Violent Crime
2020-04-03,04:55,Delhi,DOMESTIC VIOLENCE,59,F,Violent Crime
2020-04-03,15:32,Mumbai,ROBBERY,14,M,Violent Crime
2020-04-03,20:31,Delhi,VEHICLE - STOLEN,39,F,Violent Crime
2020-04-03,12:54,Mumbai,BURGLARY,60,F,Other Crime
2020-04-03,08:45,Kolkata,ROBBERY,51,F,Violent Crime
2020-05-03,04:01,Kolkata,KIDNAPPING,18,M,Other Crime
2020-05-03,22:48,Pune,ROBBERY,72,F,Violent Crime
2020-05-03,17:49,Delhi,KIDNAPPING,21,M,Other Crime
2020-05-03,08:57,Bangalore,DOMESTIC VIOLENCE,79,F,Violent Crime
2020-05-03,10:00,Ghaziabad,VEHICLE - STOLEN,55,M,Violent Crime
2020-05-03,17:14,Visakhapatnam,DRUG OFFENSE,64,F,Other Crime
2020-05-03,16:36,Hyderabad,VEHICLE - STOLEN,63,M,Violent Crime
2020-05-03,17:54,Delhi,DRUG OFFENSE,48,F,Other Crime
2020-05-03,07:13,Delhi,ROBBERY,71,F,Violent Crime
2020-05-03,20:33,Hyderabad,DRUG OFFENSE,15,M,Other Crime
2020-05-03,22:31,Bangalore,ASSAULT,30,M,Violent Crime
2020-05-03,10:15,Delhi,ASSAULT,64,M,Violent Crime
2020-05-03,16:04,Chennai,DRUG OFFENSE,29,F,Other Crime
2020-06-03,08:25,Bhopal,KIDNAPPING,21,F,Other Crime
2020-06-03,05:46,Ahmedabad,SEXUAL ASSAULT,63,F,Violent Crime
2020-06-03,00:04,Ahmedabad,HOMICIDE,26,M,Other Crime
2020-06-03,18:47,Surat,BURGLARY,19,F,Other Crime
2020-06-03,23:18,Bangalore,SEXUAL ASSAULT,54,M,Violent Crime
2020-06-03,20:31,Surat,KIDNAPPING,71,M,Other Crime
2020-06-03,11:25,Chennai,VEHICLE - STOLEN,51,F,Violent Crime
2020-06-03,15:01,Ahmedabad,HOMICIDE,22,M,Other Crime
2020-06-03,11:34,Hyderabad,HOMICIDE,19,F,Other Crime
2020-06-03,05:27,Bangalore,KIDNAPPING,47,F,Other Crime
2020-06-03,22:13,Kalyan,KIDNAPPING,25,F,Other Crime
2020-06-03,06:22,Pune,ASSAULT,20,F,Violent Crime
2020-06-03,06:01,Bangalore,HOMICIDE,20,F,Other Crime
2020-06-03,02:20,Mumbai,DOMESTIC VIOLENCE,45,F,Violent Crime
2020-07-03,12:31,Mumbai,VEHICLE - STOLEN,28,F,Violent Crime
2020-07-03,00:06,Delhi,CYBERCRIME,66,F,Other Crime
2020-07-03,16:27,Hyderabad,HOMICIDE,39,F,Other Crime
2020-07-03,04:02,Jaipur,HOMICIDE,32,M,Other Crime
2020-07-03,13:49,Visakhapatnam,HOMICIDE,59,F,Other Crime
2020-07-03,06:55,Chennai,VEHICLE - STOLEN,51,F,Violent Crime
2020-07-03,23:40,Mumbai,BURGLARY,19,M,Other Crime
2020-07-03,10:20,Hyderabad,ROBBERY,70,F,Violent Crime
2020-07-03,09:47,Surat,ROBBERY,38,F,Violent Crime
2020-07-03,19:57,Delhi,BURGLARY,74,F,Other Crime
2020-07-03,17:25,Visakhapatnam,KIDNAPPING,14,M,Other Crime
2020-08-03,04:14,Bangalore,HOMICIDE,51,F,Other Crime
2020-08-03,16:42,Delhi,HOMICIDE,30,F,Other Crime
2020-08-03,19:12,Bangalore,VEHICLE - STOLEN,49,F,Violent Crime
2020-08-03,23:30,Visakhapatnam,DRUG OFFENSE,11,F,Other Crime
2020-08-03,11:05,Delhi,ASSAULT,45,F,Violent Crime
2020-08-03,06:57,Chennai,DOMESTIC VIOLENCE,37,M,Violent Crime
2020-08-03,18:50,Chennai,DOMESTIC VIOLENCE,25,F,Violent Crime
2020-08-03,04:16,Hyderabad,DOMESTIC VIOLENCE,24,F,Violent Crime
2020-08-03,07:53,Bangalore,KIDNAPPING,16,M,Other Crime
2020-08-03,07:41,Hyderabad,VEHICLE - STOLEN,63,F,Violent Crime
2020-09-03,14:39,Agra,DOMESTIC VIOLENCE,61,F,Violent Crime
2020-09-03,23:00,Nagpur,HOMICIDE,12,F,Other Crime
2020-09-03,22:18,Faridabad,VEHICLE - STOLEN,78,M,Violent Crime
2020-09-03,18:20,Ahmedabad,ASSAULT,31,F,Violent Crime
2020-09-03,22:03,Patna,CYBERCRIME,53,M,Other Crime
2020-09-03,05:50,Indore,DRUG OFFENSE,34,F,Other Crime
2020-09-03,04:58,Pune,BURGLARY,73,F,Other Crime
2020-09-03,14:59,Bangalore,KIDNAPPING,22,F,Other Crime
2020-09-03,06:01,Bangalore,BURGLARY,12,F,Other Crime
2020-09-03,03:13,Bangalore,BURGLARY,38,F,Other Crime
